Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags
"Nintendo DS","Games","Owned","Advance Wars: Dark Conflict","United Kingdom","Official","Nintendo","Intelligent Systems Co., Ltd.","4 Nov 2024","CIB","8.27","16.23","47.12","16.23","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Advance Wars: Dual Strike","United Kingdom","Official","Nintendo","Intelligent Systems Co., Ltd.","4 Nov 2024","CIB","13.90","19.46","37.23","19.46","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Children of Mana","United Kingdom","Official","Nintendo","Nex Entertainment","4 Nov 2024","CIB","8.59","13.81","52.22","13.81","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Chrono Trigger","United Kingdom","Official","Square Enix","Square Enix","4 Nov 2024","CIB","41.49","80.51","116.16","80.51","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Dr. Kawashima's Brain Training: How Old is Your Brain","United Kingdom","Official","Nintendo","Nintendo","4 Nov 2024","B","2.61","3.82","6.32","3.26","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Final Fantasy Fables: Chocobo Tales","United Kingdom","Official","Square Enix","h.a.n.d. Inc.","4 Nov 2024","CIB","8.12","10.82","15.41","10.82","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Golden Sun: Dark Dawn","United Kingdom","Official","Nintendo","Camelot Software Planning","4 Nov 2024","CIB","18.29","18.65","52.26","18.65","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Mario & Luigi: Bowser's Inside Story","United Kingdom","Official","Nintendo","Alphadream Corporation","5 Nov 2024","CIB","11.47","11.59","71.73","11.59","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","More Brain Training from Dr Kawashima - How Old Is Your Brain","United Kingdom","Official","Nintendo","Nintendo","6 Nov 2024","CIB","3.12","3.82","5.06","3.82","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Pokémon Black Version","United Kingdom","Official","Nintendo","Game Freak","2 Dec 2024","B","41.63","41.90","152.69","14.77","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Pokémon Diamond","United Kingdom","Official","Nintendo","Game Freak","16 Sep 2024","CIB+","22.37","29.56","90.14","29.56","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Pokémon Diamond","United Kingdom","Official","Nintendo","Game Freak","16 Sep 2024","Loose","22.37","29.56","90.14","22.37","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Pokemon HeartGold Version","United Kingdom","Official","Nintendo","Game Freak","2 Dec 2024","Loose","70.72","112.38","213.70","70.72","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Pokémon SoulSilver Version [Pokéwalker Bundle]","United Kingdom","Official","Nintendo","Game Freak","2 Dec 2024","CIB+","87.02","179.42","391.13","179.42","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Professor Layton and the Curious Village","United Kingdom","Official","Nintendo","Level-5","2 Dec 2024","CIB","1.96","3.93","11.44","3.93","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Puzzler Collection","United Kingdom","Official","Ubisoft","Route 1 Games","2 Dec 2024","CIB","2.39","4.02","6.72","4.02","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Sega Casino","United Kingdom","Official","Sega","Sega","2 Dec 2024","CIB","3.19","3.50","7.10","3.50","-1.0","?","?","?","",""
"Nintendo DS","Games","Owned","Sonic Rush Adventure","United Kingdom","Official","Sega","Dimps Corporation","2 Dec 2024","Loose","5.77","8.08","40.16","5.77","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Clockwork Knight","United Kingdom","Official","Sega","Sega","4 Nov 2024","CIB","5.82","22.63","56.38","22.63","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Daytona USA","United Kingdom","Official","Sega","Sega AM2 R&D Division","26 Nov 2025","CIB","4.91","18.41","32.52","18.41","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Dragon Force","United Kingdom","Official","Sega","J-Force","4 Nov 2024","CIB","70.88","179.48","305.28","179.48","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Fighting Vipers","United Kingdom","Official","Sega","SEGA AM-2","8 Feb 2026","CIB","5.42","14.18","46.27","14.18","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Nights into Dreams","United Kingdom","Official","Sega","Sonic Team","6 Nov 2024","CIB","19.78","44.39","100.04","44.39","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Panzer Dragoon","United Kingdom","Official","Sega","Sega","6 Nov 2024","CIB","21.30","35.46","150.85","35.46","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Panzer Dragoon II Zwei","United Kingdom","Official","Sega","Sega","6 Nov 2024","CIB","24.19","54.58","101.68","54.58","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Panzer Dragoon Saga","United Kingdom","Official","Sega Europe","Team Andromeda","16 Sep 2024","CIB","84.82","513.26","186439.86","513.26","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Sega Rally Championship","United Kingdom","Official","Sega","Sega AM3 R&D Division","2 Dec 2024","CIB","7.77","17.11","60.86","17.11","-1.0","?","?","?","",""
"Sega Saturn","Systems","Owned","Sega Saturn Console","United Kingdom","Official","Missing Field","Missing Field","25 Dec 2024","Loose","111.11","139.33","236.78","111.11","-1.0","?","?","?","",""
"Sega Saturn","Games","Owned","Sonic Jam","United Kingdom","Official","Sega","Sonic Team","2 Dec 2024","CIB","19.37","35.99","75.70","35.99","-1.0","?","?","?","",""
